# ----------------------------------------------------------------------
#       JWST/NIRCam WFSS Sensitivity Curve (Cycle-1) 
# 
#       /filter: F444W    /module: B   /pupil: R
# 
# Generated using data from PID 1536, 1537, 1538 (PI: Gordon; 6 observations)
# ObsID: jw01536084001_02103_00001
#        jw01536084001_02103_00002
#        jw01537042001_04101_00001
#        jw01537042001_04101_00002
#        jw01538073001_04101_00001
#        jw01538073001_04101_00002
# Flux Calibration Uncertainty (16-50-84th percentile in FWHM) = 0.67-1.04-1.52%
# Please note that the wavelength space might not be uniform.
# ----------------------------------------------------------------------
# How to use this file? When you have a spectrum extracted as:
#       wavelength sequence [in unit of micron]:   arr_wave
#       spectral sequence   [in unit of DN/S]:     arr_spec
# If the spectrum has to be resampled, do not sum the DN/s along the dispersion direction.
# Simply interpolate the `wavelength` and `DN/s/Jy` column of this table, like:
# >> from scipy import interpolate
# >> ## interpolate the sensitivity curve:
# >> func_sens = interpolate.UnivariateSpline(tb_sens['wavelength'], tb_sens['DN/s/Jy'], ext = 'zeros', k = 1)
# >> ## apply the sensitivity curve: 
# >> arr_spec_mJy = arr_spec / func_sens(arr_wave) * 1e3 # unit: mJy
# ----------------------------------------------------------------------
# Produced by Mr. Fengwu Sun (Steward Observatory, UofArizona), 2022/09/20
# Contact:        fengwusun[AT]arizona.edu 
# ----------------------------------------------------------------------
wavelength DN/s/Jy DN/s/Jy_err
4.0760 16909.7 146.1
4.0810 16826.7 172.2
4.0860 16839.1 178.7
4.0910 16827.6 180.6
4.0960 16947.5 93.4
4.1010 16844.0 198.9
4.1060 16795.6 107.4
4.1110 16916.9 172.7
4.1160 16877.1 113.3
4.1210 16717.9 114.7
4.1260 16659.9 147.1
4.1310 16782.5 133.4
4.1360 16789.0 105.8
4.1410 16648.5 113.2
4.1460 16640.5 133.7
4.1510 16523.9 127.6
4.1560 16519.5 165.9
4.1610 16507.7 107.3
4.1660 16503.9 103.1
4.1710 16375.1 209.7
4.1760 16307.8 163.0
4.1810 16336.7 117.1
4.1860 16297.5 93.8
4.1910 16172.1 94.8
4.1960 16095.2 129.2
4.2010 15949.3 131.4
4.2060 15985.2 92.1
4.2110 16001.0 163.5
4.2160 16070.9 112.8
4.2210 16083.3 139.8
4.2260 15953.1 200.9
4.2310 15897.5 158.9
4.2360 16008.8 169.0
4.2410 15972.0 129.5
4.2460 15839.6 108.3
4.2510 15691.9 97.4
4.2560 15754.6 151.2
4.2610 15752.0 167.8
4.2660 15843.5 125.3
4.2710 15660.4 174.9
4.2760 15638.9 142.3
4.2810 15574.2 113.5
4.2860 15447.7 161.3
4.2910 15367.1 210.7
4.2960 15389.1 153.8
4.3010 15417.6 174.0
4.3060 15384.5 111.2
4.3110 15238.9 143.6
4.3160 15277.6 97.5
4.3210 15214.4 147.2
4.3260 15131.5 97.3
4.3310 15111.5 94.3
4.3360 15204.5 99.3
4.3410 15148.5 90.2
4.3460 15050.2 125.6
4.3510 15219.5 300.8
4.3560 14979.3 233.1
4.3610 14846.2 154.8
4.3660 14754.1 197.9
4.3710 14799.1 201.3
4.3760 14857.4 161.9
4.3810 14892.5 116.7
4.3860 14722.9 161.8
4.3910 14440.6 79.2
4.3960 14496.1 80.7
4.4010 14460.8 220.5
4.4060 14379.2 247.9
4.4110 14331.9 205.9
4.4160 14344.0 209.4
4.4210 14395.1 123.3
4.4260 14303.1 222.0
4.4310 14253.7 122.6
4.4360 14127.1 190.0
4.4410 14191.5 110.8
4.4460 14220.7 180.0
4.4510 14139.7 187.4
4.4560 14101.9 146.2
4.4610 14001.2 184.3
4.4660 14051.8 79.7
4.4710 14005.4 216.1
4.4760 14037.8 202.1
4.4810 13907.0 78.7
4.4860 13801.0 217.9
4.4910 13964.1 201.6
4.4960 14066.9 182.9
4.5010 13954.4 209.2
4.5060 13797.7 142.5
4.5110 13786.3 168.2
4.5160 13743.6 109.4
4.5210 13602.9 232.6
4.5260 13462.8 192.0
4.5310 13433.8 73.9
4.5360 13443.4 157.8
4.5410 13431.1 110.1
4.5460 13308.0 74.8
4.5510 13427.4 85.8
4.5560 13261.4 135.8
4.5610 13344.0 139.1
4.5660 13223.0 116.0
4.5710 13219.5 144.1
4.5760 13160.1 203.4
4.5810 13067.5 228.7
4.5860 13081.0 139.9
4.5910 13028.4 131.3
4.5960 12894.3 209.5
4.6010 12900.9 153.7
4.6060 12897.6 126.0
4.6110 12957.7 229.2
4.6160 12786.1 110.1
4.6210 12835.8 145.7
4.6260 12793.6 102.9
4.6310 12751.3 75.2
4.6360 12687.9 98.5
4.6410 12552.2 176.7
4.6460 12277.0 223.7
4.6510 12302.4 188.2
4.6560 12230.1 135.7
4.6610 12218.4 124.4
4.6660 12035.0 151.2
4.6710 12058.7 186.6
4.6760 12073.3 159.1
4.6810 11845.8 117.6
4.6860 11771.5 84.4
4.6910 11780.5 161.9
4.6960 11825.3 98.8
4.7010 11772.6 166.7
4.7060 11816.5 89.4
4.7110 11830.1 123.6
4.7160 11817.8 106.4
4.7210 11792.9 123.8
4.7260 11838.9 88.8
4.7310 11775.4 97.8
4.7360 11553.8 64.1
4.7410 11547.0 172.6
4.7460 11376.9 201.9
4.7510 11328.0 222.0
4.7560 11416.5 125.0
4.7610 11302.5 87.5
4.7660 11358.3 84.8
4.7710 10991.2 136.2
4.7760 11017.0 123.9
4.7810 11170.5 61.4
4.7860 11006.6 161.6
4.7910 10942.8 195.3
4.7960 10938.9 133.6
4.8010 10993.4 123.3
4.8060 10909.6 107.6
4.8110 10856.6 159.6
4.8160 10926.9 244.1
4.8210 10944.5 88.7
4.8260 10997.2 119.1
4.8310 10894.7 151.6
4.8360 10932.8 158.6
4.8410 10760.1 65.4
4.8460 10663.5 194.7
4.8510 10531.3 97.0
4.8560 10608.5 138.7
4.8610 10553.3 94.0
4.8660 10373.2 72.9
4.8710 10184.0 193.8
4.8760 10192.1 160.3
4.8810 9964.9 57.8
4.8860 9908.8 237.0
4.8910 9952.4 135.6
4.8960 9818.1 180.2
4.9010 9719.0 197.8
4.9060 9794.2 199.0
4.9110 9624.7 163.8
4.9160 9545.0 195.1
4.9210 9598.4 56.3
4.9260 9539.9 111.3
4.9310 9412.6 149.0
4.9360 9218.0 109.2
4.9410 8917.2 101.2
4.9460 8841.7 154.0
4.9510 8238.0 122.0
4.9560 7930.7 190.0
4.9610 7329.1 167.5
4.9660 6834.9 234.6
4.9710 6439.1 229.3
4.9760 5648.5 317.4
4.9810 5104.0 245.2
4.9860 4519.3 277.7
4.9910 4018.0 53.1
4.9960 3519.6 164.3
5.0010 3048.6 283.2
5.0060 2630.0 133.9
5.0110 2343.5 41.2
5.0160 2150.7 138.6
5.0210 1841.4 285.5
5.0260 1518.8 212.9
5.0310 1434.5 25.2
5.0360 1104.7 102.0
5.0410 930.2 177.4
5.0460 705.0 87.6
5.0510 674.6 92.8
5.0560 511.9 2.8
5.0610 387.9 4.7
5.0660 289.2 74.9
5.0710 233.2 112.2
5.0760 159.9 100.9
5.0810 106.4 109.6
5.0860 72.6 163.3
5.0910 53.7 133.8
5.0962 -97.6 230.8
5.1013 -3.9 48.5
5.1062 40.2 189.4
5.1115 233.5 112.8
5.1165 33.6 14.6
