# ----------------------------------------------------------------------
#       JWST/NIRCam WFSS Sensitivity Curve (Cycle-1) 
# 
#       /filter: F444W    /module: A   /pupil: R
# 
# Generated using data from PID 1536, 1537, 1538 (PI: Gordon; 6 observations)
# ObsID: jw01536082001_02103_00001
#        jw01536082001_02103_00002
#        jw01537041001_04101_00001
#        jw01537041001_04101_00002
#        jw01538072001_04101_00001
#        jw01538072001_04101_00002
# Flux Calibration Uncertainty (16-50-84th percentile in FWHM) = 1.14-1.49-2.14%
# Please note that the wavelength space might not be uniform.
# ----------------------------------------------------------------------
# How to use this file? When you have a spectrum extracted as:
#       wavelength sequence [in unit of micron]:   arr_wave
#       spectral sequence   [in unit of DN/S]:     arr_spec
# If the spectrum has to be resampled, do not sum the DN/s along the dispersion direction.
# Simply interpolate the `wavelength` and `DN/s/Jy` column of this table, like:
# >> from scipy import interpolate
# >> ## interpolate the sensitivity curve:
# >> func_sens = interpolate.UnivariateSpline(tb_sens['wavelength'], tb_sens['DN/s/Jy'], ext = 'zeros', k = 1)
# >> ## apply the sensitivity curve: 
# >> arr_spec_mJy = arr_spec / func_sens(arr_wave) * 1e3 # unit: mJy
# ----------------------------------------------------------------------
# Produced by Mr. Fengwu Sun (Steward Observatory, UofArizona), 2022/09/20
# Contact:        fengwusun[AT]arizona.edu 
# ----------------------------------------------------------------------
wavelength DN/s/Jy DN/s/Jy_err
4.0750 22230.5 464.9
4.0800 21819.3 256.5
4.0850 22134.0 269.6
4.0900 22358.7 309.6
4.0950 22196.6 282.3
4.1000 22173.6 314.4
4.1050 21910.9 260.1
4.1100 21944.7 291.6
4.1150 21936.0 278.0
4.1200 21951.3 248.3
4.1250 22070.3 296.6
4.1300 22029.3 266.7
4.1350 22036.8 323.9
4.1400 22064.7 341.3
4.1450 22167.6 333.9
4.1500 21751.6 351.9
4.1550 21520.1 379.8
4.1600 21630.8 245.7
4.1650 21551.6 299.5
4.1700 21676.0 269.3
4.1750 21770.0 284.3
4.1800 21622.4 256.5
4.1850 21554.8 233.8
4.1900 21248.1 250.6
4.1950 21293.1 232.1
4.2000 21456.0 315.4
4.2050 21162.6 264.0
4.2100 21169.6 242.5
4.2150 21316.3 328.8
4.2200 21329.6 281.2
4.2250 21008.3 232.6
4.2300 21017.9 273.8
4.2350 20790.6 369.9
4.2400 21043.9 260.2
4.2450 20916.1 227.7
4.2500 20990.6 264.8
4.2550 20969.0 227.8
4.2600 20953.9 288.9
4.2650 20931.7 243.1
4.2700 20724.4 224.1
4.2750 20608.0 396.8
4.2800 20569.8 287.7
4.2850 20400.4 353.8
4.2900 20450.7 292.7
4.2950 20628.3 223.7
4.3000 20268.5 299.8
4.3050 20347.5 225.6
4.3100 20616.9 222.5
4.3150 20609.6 238.4
4.3200 20120.2 412.5
4.3250 20464.6 304.6
4.3300 20175.2 229.5
4.3350 19837.8 213.8
4.3400 19973.1 214.6
4.3450 19830.4 271.3
4.3500 19636.4 345.7
4.3550 19679.9 311.8
4.3600 19690.6 261.1
4.3650 19529.8 348.0
4.3700 19555.3 281.8
4.3750 19740.5 587.0
4.3800 19610.6 402.4
4.3850 19530.4 342.0
4.3900 19523.2 258.2
4.3950 19285.8 320.9
4.4000 19547.3 258.9
4.4050 19355.5 332.0
4.4100 18912.8 428.0
4.4150 19191.3 330.3
4.4200 18981.6 278.1
4.4250 18944.2 335.6
4.4300 19022.9 217.7
4.4350 18793.5 221.0
4.4400 18910.9 235.1
4.4450 18776.8 277.9
4.4500 18727.4 210.6
4.4550 18603.9 254.6
4.4600 18579.9 317.1
4.4650 18592.1 305.8
4.4700 18520.0 300.9
4.4750 18687.9 324.7
4.4800 18489.5 281.0
4.4850 18642.3 249.9
4.4900 18397.7 372.3
4.4950 18463.4 276.5
4.5000 18697.7 334.9
4.5050 18260.4 457.2
4.5100 18069.8 209.9
4.5150 18161.4 225.4
4.5200 18072.4 203.0
4.5250 17837.5 441.5
4.5300 17830.4 289.1
4.5350 18185.1 395.7
4.5400 18066.2 449.2
4.5450 17824.9 284.3
4.5500 17759.6 251.7
4.5550 17911.8 265.7
4.5600 17883.5 305.4
4.5650 17700.1 240.9
4.5700 17684.6 190.6
4.5750 17546.4 215.3
4.5800 17536.2 211.8
4.5850 17357.2 235.9
4.5900 17418.3 243.4
4.5950 17544.5 274.9
4.6000 17364.0 345.7
4.6050 17325.1 226.0
4.6100 16883.0 201.6
4.6150 16913.2 183.3
4.6200 17016.0 210.3
4.6250 16739.7 329.0
4.6300 17092.0 465.2
4.6350 17060.3 479.0
4.6400 16843.3 251.3
4.6450 16876.4 276.1
4.6500 16598.8 178.9
4.6550 16555.6 186.2
4.6600 16404.3 216.1
4.6650 16376.4 229.6
4.6700 16258.1 274.1
4.6750 16211.2 240.9
4.6800 16157.3 220.6
4.6850 16075.4 182.0
4.6900 16086.4 307.0
4.6950 16102.0 217.6
4.7000 15972.9 208.0
4.7050 15848.9 267.4
4.7100 15742.2 237.4
4.7150 15876.1 180.9
4.7200 15745.4 300.6
4.7250 15792.2 264.0
4.7300 15756.3 239.2
4.7350 15926.7 287.9
4.7400 15785.3 271.4
4.7450 15515.7 289.8
4.7500 15603.4 199.1
4.7550 15337.0 330.6
4.7600 15216.7 407.7
4.7650 15254.3 261.3
4.7700 14963.2 352.5
4.7750 14666.6 243.8
4.7800 14735.8 287.1
4.7850 14850.0 175.4
4.7900 14556.0 380.8
4.7950 14798.0 160.9
4.8000 14613.1 316.6
4.8050 14705.9 352.0
4.8100 14742.1 385.5
4.8150 14856.8 319.4
4.8200 14897.8 230.2
4.8250 14655.8 351.7
4.8300 14737.7 425.8
4.8350 15018.9 161.0
4.8400 14767.6 369.9
4.8450 14805.3 159.0
4.8500 14545.1 425.7
4.8550 14679.5 183.6
4.8600 14514.8 394.7
4.8650 14194.8 414.4
4.8700 14202.6 562.0
4.8750 14033.9 436.1
4.8800 14058.6 487.3
4.8850 13867.9 405.2
4.8900 13874.0 359.9
4.8950 13616.5 313.4
4.9000 13517.5 315.0
4.9050 13593.1 173.5
4.9100 13487.2 167.8
4.9150 13368.9 229.3
4.9200 13314.0 241.2
4.9250 13101.1 141.0
4.9300 12975.0 139.3
4.9350 13043.4 227.0
4.9400 12772.7 156.0
4.9450 12883.3 251.8
4.9500 12393.4 135.1
4.9550 12385.5 334.3
4.9600 11836.1 126.7
4.9650 11597.3 204.1
4.9700 11231.5 174.9
4.9750 10752.4 258.8
4.9800 10238.0 129.8
4.9850 9655.4 585.4
4.9900 9103.8 632.5
4.9950 8511.2 214.3
5.0000 7662.9 885.4
5.0050 7249.8 91.8
5.0100 6419.5 976.9
5.0150 5888.2 177.4
5.0200 5217.4 95.3
5.0250 4729.5 50.8
5.0300 4068.1 100.4
5.0350 3805.1 41.0
5.0400 3406.8 108.2
5.0450 3005.3 32.2
5.0500 2718.1 1052.6
5.0542 2295.5 144.4
5.0593 1863.4 41.5
5.0643 1575.8 18.3
5.0685 1327.7 55.1
