# ----------------------------------------------------------------------
#       JWST/NIRCam WFSS Sensitivity Curve (Cycle-1) 
# 
#       /filter: F444W    /module: B   /pupil: C
# 
# Generated using data from PID 1536, 1538 (PI: Gordon; 4 observations)
# ObsID: jw01536084001_0210d_00001
#        jw01536084001_0210d_00002
#        jw01538073001_14101_00001
#        jw01538073001_14101_00002
# Flux Calibration Uncertainty (16-50-84th percentile in FWHM) = 0.41-0.97-1.68%
# Please note that the wavelength space might not be uniform.
# ----------------------------------------------------------------------
# How to use this file? When you have a spectrum extracted as:
#       wavelength sequence [in unit of micron]:   arr_wave
#       spectral sequence   [in unit of DN/S]:     arr_spec
# If the spectrum has to be resampled, do not sum the DN/s along the dispersion direction.
# Simply interpolate the `wavelength` and `DN/s/Jy` column of this table, like:
# >> from scipy import interpolate
# >> ## interpolate the sensitivity curve:
# >> func_sens = interpolate.UnivariateSpline(tb_sens['wavelength'], tb_sens['DN/s/Jy'], ext = 'zeros', k = 1)
# >> ## apply the sensitivity curve: 
# >> arr_spec_mJy = arr_spec / func_sens(arr_wave) * 1e3 # unit: mJy
# ----------------------------------------------------------------------
# Produced by Mr. Fengwu Sun (Steward Observatory, UofArizona), 2022/09/20
# Contact:        fengwusun[AT]arizona.edu 
# ----------------------------------------------------------------------
wavelength DN/s/Jy DN/s/Jy_err
4.4805 14036.4 96.7
4.4855 13864.1 67.6
4.4905 13863.9 23.8
4.4955 13822.0 168.0
4.5005 13689.8 193.9
4.5055 13877.5 224.9
4.5105 14104.6 590.0
4.5155 13585.6 150.7
4.5205 13417.8 180.7
4.5255 13454.1 150.7
4.5305 13591.1 153.2
4.5355 13474.4 60.3
4.5405 13429.3 89.0
4.5455 13452.4 77.6
4.5505 13305.0 44.6
4.5555 13320.2 26.0
4.5605 13372.2 21.1
4.5655 13192.0 57.4
4.5705 13252.7 99.9
4.5755 13177.7 154.8
4.5805 13045.4 106.1
4.5855 13129.9 134.1
4.5905 13072.0 186.2
4.5955 12997.0 132.9
4.6005 12894.6 27.4
4.6055 12725.7 158.4
4.6105 12742.7 83.3
4.6155 12605.1 139.8
4.6205 12658.1 176.3
4.6255 12609.3 90.9
4.6305 12552.3 168.0
4.6355 12553.5 135.6
4.6405 12244.3 88.2
4.6455 12021.1 127.2
4.6505 11979.3 173.0
4.6555 12224.3 115.6
4.6605 12114.7 143.4
4.6655 12068.9 30.4
4.6705 12052.1 113.1
4.6755 11968.1 59.4
4.6805 11832.6 172.4
4.6855 11895.8 153.8
4.6905 11837.1 258.7
4.6955 11866.3 128.4
4.7005 11702.1 161.2
4.7055 11633.0 270.9
4.7105 11628.8 47.2
4.7155 11621.2 146.4
4.7205 11852.1 22.2
4.7255 11786.9 114.8
4.7305 11627.1 126.1
4.7355 11641.3 111.6
4.7405 11620.5 225.0
4.7455 11491.2 93.9
4.7505 11525.2 115.5
4.7555 11435.1 19.1
4.7605 11179.6 297.3
4.7655 11503.4 187.3
4.7705 11321.1 17.9
4.7755 11246.7 64.8
4.7805 10921.0 168.8
4.7855 11053.8 172.8
4.7905 10834.7 156.8
4.7955 10958.4 155.5
4.8005 10956.3 137.4
4.8055 10829.0 198.6
4.8105 10934.3 82.6
4.8155 10796.7 156.4
4.8205 10862.0 292.1
4.8255 11062.2 64.6
4.8305 10893.7 196.3
4.8355 10874.0 178.1
4.8405 10631.2 219.8
4.8455 10650.8 207.8
4.8505 10610.8 293.2
4.8555 10560.9 136.2
4.8605 10411.3 170.6
4.8655 10313.0 139.2
4.8705 10140.1 249.7
4.8755 10323.1 196.1
4.8805 10096.9 209.6
4.8855 10312.3 253.1
4.8905 9999.6 61.9
4.8955 9774.9 262.7
4.9005 9751.6 370.1
4.9055 9917.9 101.0
4.9105 9558.9 261.3
4.9155 9606.8 261.1
4.9205 9509.2 235.0
4.9255 9419.2 317.5
4.9305 9270.4 377.5
4.9355 9220.7 239.4
4.9405 8867.4 224.0
4.9455 8522.4 210.1
4.9505 8102.0 270.1
4.9555 7861.1 37.4
4.9605 7140.7 132.3
4.9655 6474.6 59.3
4.9705 5730.0 222.1
4.9755 5230.0 51.0
4.9805 4715.5 96.7
4.9855 4142.2 7.2
4.9905 3681.6 93.2
4.9955 3180.7 44.7
5.0005 2758.0 78.4
5.0055 2352.3 85.4
5.0105 2111.5 173.8
5.0155 1856.5 161.4
5.0205 1475.9 105.9
5.0255 1251.6 153.9
5.0305 1161.3 98.3
5.0355 971.8 90.5
5.0405 808.4 34.0
5.0455 647.8 181.8
5.0505 536.6 60.5
5.0555 450.6 111.2
5.0605 325.9 4.3
5.0655 196.0 226.3
5.0705 25.8 138.9
5.0755 144.2 174.0
5.0805 -9.5 123.4
5.0855 -64.1 162.3
5.0905 7.6 64.1
5.0955 91.1 63.5
5.1005 41.1 176.7
5.1055 -53.6 160.8
