# ----------------------------------------------------------------------
#       JWST/NIRCam WFSS Sensitivity Curve (Cycle-1) 
# 
#       /filter: F444W    /module: A   /pupil: C
# 
# Generated using data from PID 1536, 1538 (PI: Gordon; 4 observations)
# ObsID: jw01536082001_0210d_00001
#        jw01536082001_0210d_00002
#        jw01538072001_14101_00001
#        jw01538072001_14101_00002
# Flux Calibration Uncertainty (16-50-84th percentile in FWHM) = 0.98-1.29-1.77%
# Please note that the wavelength space might not be uniform.
# ----------------------------------------------------------------------
# How to use this file? When you have a spectrum extracted as:
#       wavelength sequence [in unit of micron]:   arr_wave
#       spectral sequence   [in unit of DN/S]:     arr_spec
# If the spectrum has to be resampled, do not sum the DN/s along the dispersion direction.
# Simply interpolate the `wavelength` and `DN/s/Jy` column of this table, like:
# >> from scipy import interpolate
# >> ## interpolate the sensitivity curve:
# >> func_sens = interpolate.UnivariateSpline(tb_sens['wavelength'], tb_sens['DN/s/Jy'], ext = 'zeros', k = 1)
# >> ## apply the sensitivity curve: 
# >> arr_spec_mJy = arr_spec / func_sens(arr_wave) * 1e3 # unit: mJy
# ----------------------------------------------------------------------
# Produced by Mr. Fengwu Sun (Steward Observatory, UofArizona), 2022/09/20
# Contact:        fengwusun[AT]arizona.edu 
# ----------------------------------------------------------------------
wavelength DN/s/Jy DN/s/Jy_err
4.2910 20466.3 207.4
4.2960 19974.4 358.5
4.3010 20116.8 385.0
4.3060 20426.0 216.8
4.3110 20555.9 270.2
4.3160 20655.0 235.7
4.3210 20342.5 254.1
4.3260 20156.9 284.5
4.3310 20083.6 190.7
4.3360 20185.2 188.4
4.3410 19903.8 184.9
4.3460 20154.3 270.2
4.3510 19658.7 481.7
4.3560 19829.2 221.9
4.3610 19805.1 303.8
4.3660 20152.6 423.8
4.3710 19971.1 392.8
4.3760 19451.8 281.2
4.3810 19746.2 381.7
4.3860 19253.2 232.0
4.3910 19382.1 192.7
4.3960 19226.4 280.3
4.4010 19228.4 254.9
4.4060 19048.5 500.5
4.4110 18757.5 293.6
4.4160 19151.2 372.2
4.4210 19174.5 236.9
4.4260 19050.2 207.6
4.4310 19296.1 181.0
4.4360 19147.3 184.5
4.4410 19080.7 201.5
4.4460 18875.2 294.2
4.4510 19263.8 292.1
4.4560 19080.7 322.7
4.4610 19085.8 251.9
4.4660 18687.1 257.2
4.4710 18649.3 340.6
4.4760 18600.0 287.0
4.4810 18756.4 285.1
4.4860 18595.3 175.6
4.4910 18807.2 245.9
4.4960 18397.7 283.1
4.5010 18779.3 200.1
4.5060 18837.4 289.7
4.5110 18664.7 216.9
4.5160 18475.4 309.3
4.5210 18177.0 196.9
4.5260 18215.6 366.1
4.5310 18210.1 170.1
4.5360 18174.1 192.0
4.5410 18229.4 352.2
4.5460 18092.7 328.5
4.5510 18049.0 167.6
4.5560 17939.8 176.5
4.5610 18091.7 169.3
4.5660 18130.9 317.4
4.5710 17819.5 173.3
4.5760 17945.4 187.4
4.5810 17998.8 327.6
4.5860 17742.4 342.1
4.5910 17537.5 322.5
4.5960 17795.7 280.8
4.6010 17541.7 173.4
4.6060 17507.1 303.2
4.6110 17509.9 175.6
4.6160 17408.5 322.9
4.6210 17389.9 268.9
4.6260 17536.0 227.2
4.6310 17489.8 162.5
4.6360 17395.9 428.9
4.6410 17132.7 234.9
4.6460 17100.2 164.1
4.6510 16770.1 298.3
4.6560 16806.9 240.7
4.6610 16591.0 168.8
4.6660 16840.2 156.6
4.6710 16902.9 267.8
4.6760 16830.2 283.0
4.6810 16415.5 316.6
4.6860 16805.7 212.3
4.6910 16424.7 165.8
4.6960 16628.8 173.8
4.7010 16078.3 164.2
4.7060 16209.8 157.3
4.7110 15975.3 199.1
4.7160 16141.2 172.0
4.7210 16195.4 277.5
4.7260 16258.8 161.0
4.7310 16012.7 230.4
4.7360 16030.1 212.1
4.7410 15956.2 204.9
4.7460 15962.5 160.7
4.7510 15745.2 220.2
4.7560 15733.1 149.0
4.7610 15606.4 156.9
4.7660 15318.4 248.6
4.7710 15241.0 166.5
4.7760 14905.3 254.1
4.7810 15153.8 162.9
4.7860 15432.9 308.2
4.7910 15131.1 145.4
4.7960 15241.4 200.3
4.8010 14867.0 234.4
4.8060 15024.4 163.9
4.8110 14882.1 323.2
4.8160 15112.6 251.0
4.8210 15140.8 174.5
4.8260 14872.9 189.0
4.8310 14771.3 234.3
4.8360 14884.5 345.5
4.8410 14863.1 320.8
4.8460 15128.4 219.7
4.8510 14936.0 172.4
4.8560 14802.8 248.0
4.8610 14912.1 138.7
4.8660 14559.7 150.7
4.8710 14508.9 143.7
4.8760 14638.6 147.9
4.8810 14452.9 195.7
4.8860 14335.8 269.9
4.8910 14126.9 217.1
4.8960 14236.9 259.7
4.9010 14590.9 157.4
4.9060 14274.0 134.4
4.9110 14049.8 352.5
4.9160 14133.0 356.4
4.9210 13540.8 169.8
4.9260 13515.8 136.1
4.9310 13379.5 158.4
4.9360 12952.8 291.0
4.9410 13093.8 161.4
4.9460 13133.6 129.9
4.9510 12900.5 178.7
4.9560 12634.6 117.4
4.9610 12409.7 120.1
4.9660 12081.5 155.8
4.9710 11526.7 146.7
4.9760 11350.6 106.6
4.9810 10903.4 114.1
4.9860 10275.3 142.0
4.9910 9647.1 99.6
4.9960 9055.6 94.3
5.0010 8259.8 101.4
5.0060 7678.1 76.6
5.0110 7028.2 193.4
5.0160 6361.3 123.5
5.0210 5780.8 185.8
5.0260 5215.3 131.0
5.0310 4733.9 163.2
5.0360 4248.8 187.1
5.0410 3635.0 124.4
5.0460 3379.1 177.8
5.0510 2922.8 299.8
5.0560 2462.2 24.5
